B40電流,ビーム電流,GL電流,コメント,時刻,mainGas設定値(cc/min),mainGasモニター(cc/min),supportGas設定,supportGasモニター,Iecrモニター(mA),Vecr設定値(KV),V_ecrモニター(KV),I_biasモニター(mA),V_bias設定値(V),V_biasモニター(V),ｺｲﾙ1電流設定値(A),ｺｲﾙ2電流設定値(A),ｺｲﾙ3電流設定値(A),ｺｲﾙ4電流設定値(A),ｺｲﾙ5電流設定値(A),ｺｲﾙ6電流設定値(A),ｺｲﾙ7電流設定値(A),ｺｲﾙ8電流設定値(A),ｺｲﾙ1電流モニター(A),ｺｲﾙ2電流モニター(A),ｺｲﾙ3電流モニター(A),ｺｲﾙ4電流モニター(A),ｺｲﾙ5電流モニター(A),ｺｲﾙ6電流モニター(A),ｺｲﾙ7電流モニター(A),ｺｲﾙ8電流モニター(A),Pf(W),Pｒ(W),6極冷却水流量(l/min),6極冷却水温度(℃),2nd冷却水流量(l/min),2nd冷却水温度(℃),真空度1,真空度2,真空度3,gas_old設定,gas_oldモニター
,,,600W 37deg  nv 5 supportO2 0.03 sccm  Bias 950V,2020/09/29 20:20:53,0.000000,2E-05,0.000000,0.000000,0.493000,0.000000,0.759000,0.040000,0.000000,-0.350000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,214.924275,225.957775,0.022950,22.250250,0.029400,22.666050,3.800500,3.880000,0.000000,-0.098240,0.000440
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.000000,-3.067426E-09,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.000000,-5.715701E-09,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.000000,-4.40109E-09,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.000000,-3.75331E-09,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.000000,-4.020043E-09,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.000000,-4.705927E-09,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.000000,-3.086479E-09,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.005000,-2.705432E-09,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.476000,-4.820241E-09,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.864000,-3.200793E-09,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.130000,-3.619944E-09,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.474000,-2.495856E-09,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.641000,-4.191514E-09,0.538000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.876000,-3.696153E-09,5.923000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.074000,-3.238897E-09,11.923000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.066000,-3.010269E-09,19.615000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.066000,-2.229123E-09,25.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.069000,-3.238897E-09,30.230000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.071000,-3.524682E-09,37.076000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.087000,-3.486578E-09,47.538000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.087000,-4.210566E-09,47.769000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.100000,-6.020538E-09,47.692000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.100000,-4.020043E-09,47.692000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.110000,-4.40109E-09,48.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.110000,-3.219845E-09,48.076000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.123000,-4.763084E-09,48.384000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.123000,-4.210566E-09,48.384000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.135000,-6.458742E-09,48.615000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.143000,-5.372759E-09,48.846000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.143000,-5.106026E-09,48.923000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.156000,-5.372759E-09,48.923000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.156000,-7.316097E-09,49.153000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.164000,-4.172462E-09,49.384000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.176000,-5.334654E-09,49.615000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.179000,-5.334654E-09,49.615000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.179000,-6.420637E-09,49.769000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.192000,-5.753806E-09,50.153000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.197000,-5.54423E-09,50.307000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.205000,-6.515899E-09,50.307000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.205000,-5.601387E-09,50.538000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.217000,-6.1158E-09,50.692000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.220000,-7.049365E-09,50.692000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.228000,-5.944329E-09,51.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.235000,-7.144626E-09,51.230000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.241000,-6.43969E-09,51.307000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.246000,-8.287766E-09,51.538000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.251000,-6.649266E-09,51.692000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.256000,-7.201783E-09,51.769000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.264000,-8.021034E-09,52.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.271000,-7.468516E-09,52.153000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.276000,-7.354202E-09,52.153000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.276000,-7.068417E-09,52.461000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.287000,-6.43969E-09,52.615000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.292000,-7.639987E-09,52.769000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.300000,-6.077695E-09,52.846000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.307000,-9.316593E-09,53.076000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.307000,-1.055499E-08,53.153000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.315000,-9.640482E-09,53.307000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.323000,-1.026921E-08,53.615000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.330000,-1.131709E-08,53.615000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.335000,-1.204108E-08,53.692000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.343000,-1.105036E-08,53.923000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.346000,-9.583325E-09,54.153000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.348000,-1.007869E-08,54.230000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.358000,-9.164174E-09,54.384000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.364000,-7.125574E-09,54.538000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.371000,-9.507116E-09,54.615000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.376000,-7.792406E-09,54.769000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.384000,-9.507116E-09,55.076000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.387000,-1.308896E-08,55.230000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.394000,-1.889992E-08,55.384000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.400000,-2.046221E-08,55.461000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.410000,-3.22175E-08,55.615000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.412000,-3.454189E-08,55.769000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.420000,-5.031722E-08,55.923000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.425000,-6.462553E-08,56.230000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.430000,-7.918151E-08,56.230000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.438000,-9.404233E-08,56.384000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.443000,-9.669061E-08,56.461000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.453000,-1.046164E-07,56.769000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.453000,-1.096081E-07,56.846000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.461000,-1.129041E-07,57.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.469000,-1.235544E-07,57.307000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.476000,-1.204679E-07,57.384000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.479000,-1.128089E-07,57.307000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.487000,-9.072723E-08,57.615000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.489000,-6.03578E-08,57.923000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.497000,-5.694743E-08,58.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.505000,-5.810963E-08,58.153000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.510000,-6.561625E-08,58.230000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.515000,-6.453026E-08,58.230000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.523000,-6.047212E-08,58.615000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.530000,-5.582335E-08,58.692000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.533000,-5.414674E-08,58.846000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.541000,-5.267971E-08,59.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.546000,-5.38038E-08,59.230000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.556000,-5.010765E-08,59.307000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.556000,-4.681159E-08,59.538000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.564000,-1.527997E-08,59.615000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.571000,3.18174E-08,59.923000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.576000,1.154381E-07,60.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.582000,5.516985E-07,60.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.589000,1.801818E-06,60.230000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.594000,3.410883E-06,60.461000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.600000,5.12908E-06,60.538000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.610000,5.849791E-06,60.692000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.610000,5.507973E-06,60.923000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.620000,3.158725E-06,61.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.625000,1.842761E-06,61.230000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.630000,1.237525E-06,61.307000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.635000,2.884143E-07,61.461000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.643000,1.083125E-07,61.692000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.646000,4.23724E-08,61.846000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.653000,-3.067426E-09,61.923000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.661000,-2.501572E-08,62.076000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.664000,-2.859756E-08,62.230000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.674000,-4.347743E-08,62.307000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.679000,-4.742127E-08,62.615000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.684000,-4.93646E-08,62.692000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.692000,-5.058395E-08,63.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.697000,-4.517309E-08,63.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.702000,-4.282965E-08,63.230000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.710000,-3.296054E-08,63.307000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.712000,-2.577781E-08,63.538000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.715000,-2.713053E-08,63.615000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.725000,-2.728295E-08,63.769000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.730000,-2.600644E-08,63.923000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.738000,-2.823556E-08,63.923000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.743000,-2.983596E-08,64.153000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.751000,-3.358927E-08,64.307000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.753000,-3.600892E-08,64.615000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.764000,-3.781889E-08,64.769000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.769000,-3.633281E-08,64.923000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.774000,-3.566597E-08,65.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.782000,-3.7133E-08,65.153000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.787000,-3.328443E-08,65.384000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.792000,-3.002648E-08,65.461000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.797000,-2.970259E-08,65.692000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.807000,-1.973822E-08,65.846000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.807000,-1.996685E-08,65.923000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.817000,-1.608017E-08,66.076000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.820000,-1.735668E-08,66.230000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.828000,-1.428925E-08,66.384000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.833000,-1.002153E-08,66.538000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.841000,-1.268886E-08,66.692000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.846000,-1.406062E-08,66.769000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.851000,-1.084078E-08,66.923000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.858000,-1.01549E-08,67.153000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.861000,-9.183226E-09,67.307000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.871000,-9.488064E-09,67.461000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.876000,-9.469011E-09,67.615000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.887000,-1.093604E-08,67.692000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.887000,-7.373254E-09,67.923000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.897000,-9.011755E-09,68.076000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.900000,-8.287766E-09,68.384000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.907000,-8.459238E-09,68.384000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.912000,-7.792406E-09,68.538000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.920000,-8.459238E-09,68.692000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.925000,-7.773353E-09,68.846000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.933000,-1.000248E-08,69.076000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.938000,-1.082173E-08,69.230000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.941000,-8.72597E-09,69.307000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.951000,-1.082173E-08,69.538000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.953000,-9.04986E-09,69.692000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.964000,-8.135348E-09,69.769000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.966000,-9.94532E-09,70.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.974000,-7.525673E-09,70.076000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.979000,-7.754301E-09,70.307000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.984000,-7.354202E-09,70.461000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.989000,-8.840284E-09,70.615000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.994000,-8.344924E-09,70.692000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.005000,-7.716196E-09,70.846000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.007000,-7.773353E-09,71.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.010000,-7.659039E-09,71.076000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.020000,-8.783127E-09,71.384000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.028000,-7.754301E-09,71.461000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.033000,-6.877894E-09,71.461000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.041000,-7.506621E-09,71.692000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.046000,-6.515899E-09,72.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.048000,-8.47829E-09,72.153000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.058000,-8.230609E-09,72.307000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.061000,-7.182731E-09,72.461000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.069000,-4.000991E-09,72.461000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.074000,-7.449464E-09,72.692000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.082000,-7.544725E-09,72.846000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.084000,-7.373254E-09,73.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.094000,-6.249166E-09,73.153000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.097000,-8.573552E-09,73.307000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.107000,-4.591613E-09,73.384000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.112000,-6.858841E-09,73.692000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
